CEPI,CEPF,PRAZO(DIAS ÚTEIS),FRETE TOTAL MÍNIMO,10.000,20.000,30.000,50.000,75.000,100.000,VALOR EXCEDENTE,FRETE VALOR SOBRE A NOTA(%),TAS VALOR FIXO,SEGURO FLUVIAL MÍNIMO,SEGURO FLUVIAL(%),PEDÁGIO VALOR FIXO,PEDÁGIO FRAÇÃO A CADA x KG,SEGURO(%),OUTRA TAXA MÍNIMO,OUTRA TAXA(%),GRIS MÍNIMO,GRIS(%),TDE MÍNIMO,TDE MÁXIMO,TDE(%),CTE VALOR FIXO
12200001,12249999,5,,"30,56","35,9","42,34","54,07","74,66","103,23","1,11",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
12250000,12259999,12,,"30,56","35,9","42,34","54,07","74,66","103,23","1,11",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
12260000,12269999,12,,"30,56","35,9","42,34","54,07","74,66","103,23","1,11",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
12270000,12279999,10,,"30,56","35,9","42,34","54,07","74,66","103,23","1,11",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
12280001,12299999,5,,"30,56","35,9","42,34","54,07","74,66","103,23","1,11",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
12300001,12349999,5,,"30,56","35,9","42,34","54,07","74,66","103,23","1,11",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
12350000,12379999,11,,"30,56","35,9","42,34","54,07","74,66","103,23","1,11",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
12380000,12399999,9,,"30,56","35,9","42,34","54,07","74,66","103,23","1,11",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
12400001,12449999,7,,"30,56","35,9","42,34","54,07","74,66","103,23","1,11",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
12450000,12459999,11,,"54,19","63,67","75,08","95,89","132,4","184,92","1,96",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
12460000,12489999,11,,"54,19","63,67","75,08","95,89","132,4","184,92","1,96",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
12490000,12499999,11,,"54,19","63,67","75,08","95,89","132,4","184,92","1,96",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
12500001,12524999,7,,"30,56","35,9","42,34","54,07","74,66","103,23","1,11",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
12525001,12529999,8,,"54,19","63,67","75,08","95,89","132,4","184,92","1,96",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
12530000,12569999,11,,"54,19","63,67","75,08","95,89","132,4","184,92","1,96",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
12570001,12579999,7,,"30,56","35,9","42,34","54,07","74,66","103,23","1,11",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
12580001,12599999,7,,"54,19","63,67","75,08","95,89","132,4","184,92","1,96",0,"5,0175",0,0,"14,7",100,"0,504",0,0,"5,00031","0,10001","692,57","4774,38",100,"5,00219"
