CEPI,CEPF,PRAZO(DIAS ÚTEIS),FRETE TOTAL MÍNIMO,10.000,20.000,30.000,50.000,75.000,100.000,VALOR EXCEDENTE,FRETE VALOR SOBRE A NOTA(%),GRIS MÍNIMO,GRIS(%),PEDÁGIO VALOR FIXO,PEDÁGIO FRAÇÃO A CADA x KG,TAS VALOR FIXO,TRT VALOR FIXO,TDE MÍNIMO,TDE MÁXIMO,TDE(%),TDA(%),ENTREGA VALOR FIXO
13360000,13369999,8,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13370000,13374999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13375000,13379999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13390001,13399999,8,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13400001,13439999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13440001,13444999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13450000,13459999,8,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13460000,13464999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13465001,13479999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13480001,13489999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13490000,13494999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13495001,13499999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13500001,13509999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13510001,13514999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13515001,13519999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13520000,13524999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13525001,13529999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13530000,13536999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13537000,13539999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13540000,13549999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13550000,13559999,10,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13560001,13579999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13580000,13589999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13590000,13599999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13600001,13609999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13610001,13624999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13625001,13629999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
13630001,13649999,6,,"36,17","42,8","46,95","54,15","93,99","137,24","0,83","0,4","2,85","0,15","5,5",100,"3,2",30,351,351,10,10,18
